text,label
"First tried . . . . at a rental vacation this kiddo my Gave sense of independence and confidence me . Gave the ability to let go fun Way more with I was in the water him but I didn’t , have to be in constant contact for of us both",positive
"received . . the Sash "" To Be "" Mommy White Lace it its Perhaps a delay or mishap stated On - line that it was delivered on 8th April accompanied by the 2 Grandma in the mailbox residence To Be Pins I have not yet Pack and "" To Be "" Dad Pin . I received the 2 Grandma but not the order other Pins To Be . Please into this matter ASAP . check",negative
"Mr. Thornhill has , hit . . . . out of the park the ball I truly appreciate Mr. Thornhill how uses , issues current in books his giving readers his an opportunity to view the matter subject from perspectives different the cast usual of characters , bring , humor and interest As usual to the tale when even dealing with such a topic controversial Once again them coming , Thornhill Mr. , Keep you have an audience appreciative",positive
"Don't work , in car it 's very width",negative
Much smaller . . . than pictured Do not for this pierce small care Will be returning,negative
not well Did work for me,negative
"Love . . . the colors bright Sequins are well but not the seams ! attached the seam Unfortunately Item not unfortunately eligible , for return from vendor split after having it for less than two weeks",negative
"Connected . . . to receiver via this cable Roku 4K Many drop - , screens blank , noise digital outs Replaced with another cable cheaper looking had I around lying and all issues away went . Seems I got a dud",negative
not well Did charge at all psp my,negative
"she was very , happy . Bought for granddaughter my and sizing is a size true",positive
Perfect . . just what I wanted I was it had a strap glad,positive
This weird fit . me I is my of body guess but the bottoms were too but the top was beautiful shorter just an inch than I 'd like on torso long my big,positive
"now Have been using ! . . . . for two weeks it But it is now later two weeks still and toddler baby my is using it as bed day her , inflated Initially planned to use it for 5 or so nights as i moved to a place new and had a gap between my furniture arrives it So really had a treatment rough So far it up holds",positive
"great food with no taste after , perfect for cakes red velvet coloring",positive
these are Honestly weird . . . more Feels the support sprain compared to a experience zen Save money your or invest in balm Badger brand foot,negative
It 's great and I love it I just wish that to the markers off didn't come with the caps so that they were dry and don't work,positive
I not would recommend . . . this item It took a amount considerable of time to connect The quality is not good,negative
Works . as advertised No complaints,positive
Not sure . . ... if this item is necessary I don't see any changes I like the fact you can charge it,negative
"Hydraulics leaked , in less than 90 days chair arrived with damage cosmetic",negative
up after 6 cuts . Shredded,negative
I gifted . . to a friend good that had a necklace similar to the earrings this She just loves them,positive
"curtains . . . , Very attractive white semi sheer They were truly I wanted what the light through comes but offers privacy value Great for the price",positive
Very small not satisfied,negative
Case is loose . and nearly fell of the phone Does not well protect,negative
I ran . . . on high for almost 3 hours this fan Battery life is better . than advertised It moves air more than the fan 7.5 inch plugin I have so far Loving it,positive
flawlessly Functions . . . ! one is so I feel more secure with this cord sturdy and totally worth the price you are paying for They also quickly charge I have these all around the house,positive
Good for the price clarity nice,positive
The case cannot secure . . the watch as it is supposed to Don't buy,negative
turnaround . . Fast with this vendor I love pens Sheaffer and this one not did disappoint,positive
"I expected . . it to unique and not like syrup taste , figured it should taste ok but less sweet but this , tastes like seltzer just plain with substitute sugar fake All three types were Waste of money hard earned crap ...",negative
Simple . to use and appears of quality good,positive
This was as as any I have read good a . very much Written in the style David Baldacci . Xxx story,positive
"This is a addition . . , great to batters and waffle pancake especially made from scratch and / or - raised yeast Easier than with buttermilk liquid to balance the taste and the moisture level of the batter",positive
Part . of a for hippie fest costume,positive
I gave . as a gift this and was told today that this never worked while she was trying to work make it and Also destroyed to tapes VCR,negative
does . it is supposed what to do,positive
n't yet Have used but company is super easy to work with,positive
Used ... ! for a while very short it and phone froze It s DEAD ! Seller is not very helpful !!! JUNK,negative
A gift . for my daughter,positive
These are great . . but I 've and they aren't very durable purchased 2 of them I 'll buying though keep,positive
"We really like . . . the quality of this trimmer and it , does an job excellent trimming around the fence , shrubs and , trees many our line issue only My is that it is a bit on the heavy ; which is caused by the battery and the fact that greenworks built it to last weight side Very easy to change an attachment",positive
"It feels The length is very . . . good . noticeably heavier than the cable Apple brand I these The packing is . It 's money so much worth fine ! Arrive . on time Family all like it how low are profile Super value products love . A Will buy time next . cable . enough and enough sturdy to up to using it on devices Apple my hold that was long The cable braided looks sturdy and it so far well has , worked The speed is very . fast",positive
very comfortable . . for 30 $ but i would hope these flip flops me could give worth at least a few years of wear couldn't believe the toe strap broke in the middle of my trip how disappointing,negative
"so far Works great . color Great and texture The issue only minor ( ) minor is the velcro strap that allows you to the wire up and secure it wrap doesn’t it is so , unattached instead of conveniently adhering , to the wire at all times when being even not utilized fit , over the plugs . this . :",positive
"quality ! Great up through sprinklers , duty heavy , size good , and to the point polite , and actually in well so they are not obnoxiously obvious in the yard blend Stands",positive
What not the description did say is . -- that the lens is instead of glass and I am worried since I use this as a thermometer meat it will melt plastic probably OK if used in a environment cool not around a but or barbecue stove a glass lens would make it more durable,positive
Not for out snoring . They will work for anything else . drowning,negative
daily Use ! it machine Great and easy to use,positive
This product comes . much too large to use on a laptop computer My is 15.6 . ” and it towers over the area mouse,negative
This is very thin . . and cheaply made Really expected fabric heavier for the price,negative
Love . . . . ! ... the bag GSD old 8 month My right now weighs about 50 lbs and bag he is too big a bit for her the straps up loosening and the bag then starts sliding off her end pockets are much bigger complaint only My and ( reason ) for 4 stars is that the straps not do stay tight If we than they look go for a walk or run I am hoping we won’t have a problem with having to so tight have the straps when she out more a bit fills,positive
"n't Does connect , , doesn't off / on easily turn horrible",negative
quality ! ! Amazing Especially for this price,positive
I ordered . the case iPhone x and I got this and this is the time first ever anything like this has happened I often order on Amazon,negative
It needs . . Velcro or something to keep it under chin their off pretty quickly Falls,negative
The makeup is so watery . and does not on well go,negative
The battery life is very short . . always need to down and recharge take they Also frequently fall from cabinet,positive
I have . . hair really thin and these work This is style favorite my of clip,positive
It 's perfect Looks just like the picture,positive
kids My have had ! with these fun so much problem Only I ’m kids My have been . able to make shapes different and swirls willing for the price to replace them when they break But and enjoy using imaginations their is . that they easy break and the connections are hard a little for to ones little my together get,positive
"Meh , it ’s . it Sometimes great works times other it , , blows bubbles very few even when there plenty of liquid bubble is . I expected more a little For the price . ok",negative
"oh my Oh my , this the pair second because I had to exchange the pair first as the button hole was closed , leaving no way to button them . The send second pair neighbor My she so but what a . is a seamstress Not a happy customer pain cut it and she 's not sure it will up long hold arrived just the same . . us",negative
This product was a waist . . . of money Did not as advertised work Will . say seeds sowed hand covered with straw and they did grow There nothing hydro seeding about this is,negative
This is exactly what ! we were working for and has up under the strains of carrying lunches daily for a - schooler middle held,positive
It ’s alright but the cut of the top looks very awkward around the armpit and unflattering,negative
"I started . , , too with of a bead fine I then switched to this great worked for removing finishes old",positive
"I ordered . . . . for grandson my these They are extremely smaller than they in to be the ad show It should say "" enlarged "" to show detail or something to that effect grandson My was very disappointed with them",negative
They are heavy for swimsuit and really don’t do much,negative
The bars that arrived were old . . . . and discolored They were inedible these granola bars Usually have a shiny chocolate and pieces of course sea salt coating I contacted the seller and never received a response,negative
"'s The holder pad and / or pad rattles when empty and when in use . bottom support clip 's The holder does not cord 5 Galaxy S OEM my accommodate I often . Would not it again buy . , use it Despite these nuisances . clips",negative
Received ! a portfolio not a case standard,negative
"This tent was affordable . . . . but I I was overall disappointed but I found myself struggling to finish securing the portion canopy was fairly easy at first it up Setting The tent over blew . in a breeze about 10 - 15 mph and one of the supports metal snapped , even though I down each corner of the tent staked I wish I ’d bought weights will pay more for a tent more durable time Next",negative
This is absolutely the warmer . . ! best we 've bought Love - the dimmer we can so use it as a light night and then it up for fragrance during the day turn The only draw back is that it takes an unusual light bulb . It is not easily out swapped You 'll . need tools to apart when the bulb dies take it,positive
This arrived . . . in a pool of itself The packaging was the product was all over the of the box inside terrible I 'll never from them again buy,negative
deal Great service fast,positive
"n't Did do ! . , anything unless you never clean ears your Waste of money",negative
The hangers .... ! only I will use Nothing falls off of them,positive
The camera itself looks . nice and sleek I am however not sure to how mount it . There no directions for it are The instructions for the camera actual are not It almost looks like a kindergartner wrote the instructions . clear at all I 'm . . having a time hard started getting this thing,negative
"The headphones are slightly heavy . . . on the head The noise canceling is good and the sound quality is good I would definitely buying these headphones for the listener average . You are not to be away by the noise or sound quality cancellation blown but I , overall a set good of headphones going recommend",positive
"I really liked . . ! this movie It though did look 'ish a little cg on TV 4 k my But that is not the , movie fault 's the TV",positive
waste . . .. Poor quality of money It only lasted a week Don't waste money your,negative
"I found . . this has the taste most satisfying and authentic for in cooking use and the price , makes it good for saving against the purchase of containers many smaller you 're , better if you enough use it If you don't that much use it off out more per ounce on a size smaller forking",positive
I love . ! this mirror Super cute and bigger a lot than what I thought it was gonna be,positive
"I have noticed . . some results nails my , looked cleaner After one treatment the day next . It 's been a now and still results good though things are even slowly moving week This is the I now . have some hope . product best I have found that after years of products other",positive
I kept . . . . sliding down the ramp Returned it This is too big to as well travel on airlines It would almost up an suitcase entire large take,negative
You the chest strap attachment in this kit is super . that thing on when riding motocross yesterday and up came with some shots killer Strapped . I forgot I even was wearing it most of the time sick,positive
It so long to take in the bill don’t I bought 3 buy for store my is not the money worth 30 $ is fare takes,negative
well now Worked hope it will stay closed,positive
They are gloves . very good there . soft to work with,positive
The product was damaged . but I can't return the product,negative
"I paid !!! !!!!! !!!! . . , for a organizer 16 slot plus they too charged me for the one more expensive & they sent the color wrong i recieved . a 12 slot frusterated i now have to out if it 's it to return to cause sender of this of **** piece worth figure DO NOT from this company order will update when i can get a response",negative
box whole My came melted,negative
"I 'm not a photographer . . , was just to improve light when taking pictures of things I was on offer up selling trying It helped a bit",positive
"6 inches .. .. .. , anyway I measure I order 2 "" "" pieces large and they were VERY small seems won't be them buyer again SNS ordering",negative
