text	label
Está aceptable, pero al subirme bambolea un poco. No cómo para que me pueda caer, pero tampoco es super estable.	positive
Es un poco grande, pero está bien. Podría ser más grande el espacio para poner el estropajo.	positive
Lo mejor la simplicidad de dejarlos en la base de carga inalámbrica de mi mesilla y tenerlos cargados sin tener que enchufarlos.	positive
muy mal porque pedi otra cosa.	negative
Una funda dura pero ligera a la vez, se la ve robusta y encaja perfectamente en mi Samsung galaxy note 8	positive
pedí tres bolsas de 50 , me vienen dos y unas pegatinas que yo no he pedido, me han tomado el pelo pero bien......	negative
Huelen suficiente y bien, son bonitas y buenas.	positive
Perfecto corta muy bien no esportilla	positive
Pésimo producto todo plástico frágil Solo le he podido utilizar dos veces Dinero tirado a la basura. La goma por la que pasa la cerveza rota muy frágil.	negative
Venía más pequeño de lo esperado. Aún así los regalé y el que los lleva dice que está encantado y que son muy cómodos. Pongo dos estrella por qué la talla no corresponde.	negative
Realmente afea bastante el reloj, además que de no está conseguido el asunto de las aristas (bordes redondos del apple watch), por lo que no es recomendable. Si tienes un apple con pantalla de zafiro olvídate de estos accesorios. No obstante el envío fue super rápido, buena presentación y ninguna queja en ese sentido.	negative
No es original. No es de carga rapida. Todo es una mentira todo que esta escrito en anuncio. Muy mal.	negative
Es genial, imprime muy bien	positive
No ha llegado pero si me lo han cobrado. Espero que llegue antes de que cambie de móvil. Llevo una semana esperando	negative
Es un libro que se lee rápidamente y que da bastante buenos consejos respecto a trucos y tips básicos de maquillaje. No está de más tenerlo para consultar de vez en cuando.	positive
Muy mal “profesional” por decir algo el que me trajo el producto y se las gastó como veis en las fotos. Casi rompo mi buzón,y casi se rompe el producto. Amazon no debería trabajar con gente así.	negative
El producto nunga llegó, después de un mes esperándolo ,en ningún momento me han comunicado ni he podido ver la situación del envío solo que lo habían enviado.	negative
Objetivo de gran calidad a un precio ajustado; ideal para llevarlo de viaje debido a su amplio rango focal, que permite hacer desde paisajes hasta retratos.	positive
Le cuesta sincronizarse con el móvil y no funciona todos los botones del mando. Depende como hace fotos en continuo sin parar.	negative
No termina de convencerme porque arruga la ropa. Puede que no lo utilice bien	positive
Se sale la tablet de 10'1 pulgadas. Creo que sería mejor para otras de mayor tamaño. Se dobla perfectamente, eso sí, pero cuesta que esté fija con el sistema de gomas elásticas.	negative
Carga bien de momento se notan los 5000 mah La recomiendo pero sinceramente no es vuestra funda si pretendéis llevarla en un bolsillo. Es muy tocha y pesa mucho.	positive
El toner dura poco , y la impresión es muy mala, desde muy pronto	negative
Es agradable al tacto pero tiene un punto pringoso que dejar con solo rozar la Comisura de los labios. Está bien pero lo comentaría porque resulta muy untuosa	negative
Nunca me llego desde el 24 de mayo que me dice que viene con retraso y el vendedor jamás me devolvió los mensajes muy mal puntuación 0	negative
Es tan sencillo que lo he tenido que tirar porque ya las palomillas están rotas la barra no aguanta lo suficiente y cuando lo quieres montar se dobla del medio	negative
Consume la pila enseguida, no me gustó nada, es poco preciso para trabajar con programas de diseño o dibujo como autocad o photoshop.	negative
Tal y como aparece,buen tacto y muy sexy...para todas las tallas pues es muy elástico	positive
Es ideal pero hay que ser constante. Los velcros funcionan muy bien y son dobles de manera que sujeta toda la cintura.	positive
Ideal para mi hija de dos años. No es muy grande, lo que va muy bien en un piso más bien pequeño. Colores bonitos tanto para niño como para niña. Accesorios también de madera muy bonitos. Buenos acabados. Más bonita y ecológica que las de plástico	positive
La picadora está muy bien! Hacia ya un rato estaba pensando en comprarla, hasta que me animé hacerlo y me ha encantado. Puedo hacer fácil y rápidamente mis propias hamburguesas de carne, pollo o pavo sabiendo exactamente que contienen!!!	positive
Se ensucia del roce, y es imposible quitarlo. No es nada útil la parte blanca, por muy mona que sea. Yo no la compraba de nuevo ni de broma.	negative
Me ha gustado todo, es una colonia muy especial	positive
La ventosa no pega bien y se resbala en la ducha, que era para donde lo quería poner. Mi huawei p10 lite no consigue conectar. Él samsung de mi hija conectó a la primera. Le funcionaba bien, pero una vez que cayó al suelo de la ducha ya no ha vuelto a oírse bien. Una pena.	negative
Se que el producto por el precio que tiene no le puedo pedir mucho, pero un simple volumen para que la música fantástica ! que toca mi hijo de 2 años no suene tan FUERTE. Tiene solo volumen para la radio lo que no sirve de nada ya que no la pone mucho. Y no se puede tocar dos notas al mismo tiempo.	negative
