répond au tchat du chef de l’ église avec un SMS	[IN:SEND_MESSAGE [SL:GROUP chef de l’ église SL:GROUP] IN:SEND_MESSAGE]
peux - tu envoyer un texte au groupe de développement s' il te plaît	[IN:SEND_MESSAGE [SL:GROUP développement SL:GROUP] IN:SEND_MESSAGE]
Montre - moi les messages vidéo de mes frères et sœurs	[IN:GET_MESSAGE [SL:TYPE_CONTENT vidéo SL:TYPE_CONTENT] [SL:SENDER   [IN:GET_CONTACT     [SL:CONTACT_RELATED mes SL:CONTACT_RELATED]     [SL:TYPE_RELATION frères et sœurs SL:TYPE_RELATION] IN:GET_CONTACT] SL:SENDER] IN:GET_MESSAGE]
Veuillez envoyer le message à ma famille	[IN:SEND_MESSAGE [SL:RECIPIENT   [IN:GET_CONTACT     [SL:CONTACT_RELATED ma SL:CONTACT_RELATED]     [SL:TYPE_RELATION famille SL:TYPE_RELATION] IN:GET_CONTACT] SL:RECIPIENT] IN:SEND_MESSAGE]
Est - ce que mes parents m' ont envoyé quelque chose	[IN:GET_MESSAGE [SL:SENDER   [IN:GET_CONTACT     [SL:CONTACT_RELATED mes SL:CONTACT_RELATED]     [SL:TYPE_RELATION parents SL:TYPE_RELATION] IN:GET_CONTACT] SL:SENDER] [SL:RECIPIENT m' SL:RECIPIENT] IN:GET_MESSAGE]
peux - tu envoyer le groupe d' amis préférés	[IN:SEND_MESSAGE [SL:GROUP amis préférés SL:GROUP] IN:SEND_MESSAGE]
Envoie un texto à ma famille	[IN:SEND_MESSAGE [SL:RECIPIENT   [IN:GET_CONTACT     [SL:CONTACT_RELATED ma SL:CONTACT_RELATED]     [SL:TYPE_RELATION famille SL:TYPE_RELATION] IN:GET_CONTACT] SL:RECIPIENT] IN:SEND_MESSAGE]
Textez Robert et Gina que je leur parlerai plus tard	[IN:SEND_MESSAGE [SL:RECIPIENT Robert SL:RECIPIENT] [SL:RECIPIENT Gina SL:RECIPIENT] [SL:CONTENT_EXACT leur parlerai plus tard SL:CONTENT_EXACT] IN:SEND_MESSAGE]
répond au groupe garçons d’ honneur avec message vidéo	[IN:SEND_MESSAGE [SL:GROUP garçons d’ honneur SL:GROUP] [SL:TYPE_CONTENT vidéo SL:TYPE_CONTENT] IN:SEND_MESSAGE]
J’ aimerais envoyer un message a Rebecca et Everett SMS	[IN:SEND_MESSAGE [SL:RECIPIENT Rebecca SL:RECIPIENT] [SL:RECIPIENT Everett SL:RECIPIENT] IN:SEND_MESSAGE]
Il faut que tu envoies un message à Amy	[IN:SEND_MESSAGE [SL:RECIPIENT Amy SL:RECIPIENT] IN:SEND_MESSAGE]
peux - tu envoyer cette vidéo au groupe playdate	[IN:SEND_MESSAGE [SL:TYPE_CONTENT vidéo SL:TYPE_CONTENT] [SL:GROUP playdate SL:GROUP] IN:SEND_MESSAGE]
s’ il te plait envoie un message a Adnan et Steve	[IN:SEND_MESSAGE [SL:RECIPIENT Adnan SL:RECIPIENT] [SL:RECIPIENT Steve SL:RECIPIENT] IN:SEND_MESSAGE]
Récupère mes SMS de AJ et Alex	[IN:GET_MESSAGE [SL:RECIPIENT AJ SL:RECIPIENT] [SL:RECIPIENT Alex SL:RECIPIENT] IN:GET_MESSAGE]
j' aimerais envoyer un message dans la conversation de groupe du groupe de musique	[IN:SEND_MESSAGE [SL:GROUP groupe de musique SL:GROUP] IN:SEND_MESSAGE]
montre - moi des SMS de mon partenaire Emery	[IN:GET_MESSAGE [SL:SENDER   [IN:GET_CONTACT [SL:TYPE_RELATION partenaire SL:TYPE_RELATION] [SL:CONTACT Emery SL:CONTACT] IN:GET_CONTACT] SL:SENDER] IN:GET_MESSAGE]
Voyons les messages de Valeria	[IN:GET_MESSAGE [SL:SENDER Valeria SL:SENDER] IN:GET_MESSAGE]
