Antworte im Chat mit der Kirchenführung	[IN:SEND_MESSAGE [SL:GROUP Kirchenführung SL:GROUP] IN:SEND_MESSAGE]
Bitte sende die Nachricht an meine Familie	[IN:SEND_MESSAGE [SL:RECIPIENT   [IN:GET_CONTACT     [SL:CONTACT_RELATED meine SL:CONTACT_RELATED]     [SL:TYPE_RELATION Familie SL:TYPE_RELATION] IN:GET_CONTACT] SL:RECIPIENT] IN:SEND_MESSAGE]
Schreibe Lance und Kenny auf dem Weg	[IN:SEND_MESSAGE [SL:CONTENT_EXACT auf dem Weg SL:CONTENT_EXACT] [SL:RECIPIENT Lance SL:RECIPIENT] [SL:RECIPIENT Kenny SL:RECIPIENT] IN:SEND_MESSAGE]
Zeig mir meine Nachrichten von Jeannine und Josh	[IN:GET_MESSAGE [SL:RECIPIENT Jeannine SL:RECIPIENT] [SL:RECIPIENT Josh SL:RECIPIENT] IN:GET_MESSAGE]
Zeig Nachrichten von meinen Eltern an	[IN:GET_MESSAGE [SL:SENDER   [IN:GET_CONTACT     [SL:TYPE_RELATION meinen SL:TYPE_RELATION]     [SL:CONTACT_RELATED Eltern SL:CONTACT_RELATED] IN:GET_CONTACT] SL:SENDER] IN:GET_MESSAGE]
Gib mir meine Textnachrichten von Ted und Steve	[IN:GET_MESSAGE [SL:RECIPIENT Ted SL:RECIPIENT] [SL:RECIPIENT Steve SL:RECIPIENT] IN:GET_MESSAGE]
Ich brauche dich um Zachary Fletcher zu schreiben	[IN:SEND_MESSAGE [SL:RECIPIENT Zachary Fletcher SL:RECIPIENT] IN:SEND_MESSAGE]
Bitte schicke meiner Familie eine Nachricht	[IN:SEND_MESSAGE [SL:RECIPIENT   [IN:GET_CONTACT     [SL:CONTACT_RELATED meiner SL:CONTACT_RELATED]     [SL:TYPE_RELATION Familie SL:TYPE_RELATION] IN:GET_CONTACT] SL:RECIPIENT] IN:SEND_MESSAGE]
Hat der Bay Area Jobs Chat mir in der letzten Woche geschrieben	[IN:GET_MESSAGE [SL:GROUP Bay Area Jobs SL:GROUP] [SL:RECIPIENT mir SL:RECIPIENT] [SL:DATE_TIME in der letzten Woche SL:DATE_TIME] IN:GET_MESSAGE]
Ich würde gerne Josh Wu und Jordan schreiben	[IN:SEND_MESSAGE [SL:RECIPIENT Josh Wu SL:RECIPIENT] [SL:RECIPIENT Jordan SL:RECIPIENT] IN:SEND_MESSAGE]
Hole meine Textnachrichten von Daniel , Steve und Kevin Gershwin	[IN:GET_MESSAGE [SL:RECIPIENT Daniel SL:RECIPIENT] [SL:RECIPIENT Steve SL:RECIPIENT] [SL:RECIPIENT Kevin Gershwin SL:RECIPIENT] IN:GET_MESSAGE]
Hat der Laufkurs Chat mir etwas geschickt	[IN:GET_MESSAGE [SL:GROUP Laufkurs SL:GROUP] [SL:RECIPIENT mir SL:RECIPIENT] IN:GET_MESSAGE]
Schreib Robert und Gina , dass ich mich später bei ihnen melde	[IN:SEND_MESSAGE [SL:RECIPIENT Robert SL:RECIPIENT] [SL:RECIPIENT Gina SL:RECIPIENT] [SL:CONTENT_EXACT später bei ihnen melde SL:CONTENT_EXACT] IN:SEND_MESSAGE]
Bitte schreibe den Eltern im Chat alles Gute zum Geburtstag	[IN:SEND_MESSAGE [SL:RECIPIENT [IN:GET_CONTACT [SL:TYPE_RELATION Eltern SL:TYPE_RELATION] IN:GET_CONTACT] SL:RECIPIENT] [SL:CONTENT_EXACT alles Gute zum Geburtstag SL:CONTENT_EXACT] IN:SEND_MESSAGE]
Kannst du dieses Video in die Spielverabredungs - Gruppe schicken	[IN:SEND_MESSAGE [SL:TYPE_CONTENT Video SL:TYPE_CONTENT] [SL:GROUP Spielverabredungs - SL:GROUP] IN:SEND_MESSAGE]
Ich würde gerne eine Videonachricht an meine Familie schicken	[IN:SEND_MESSAGE [SL:RECIPIENT   [IN:GET_CONTACT     [SL:CONTACT_RELATED meine SL:CONTACT_RELATED]     [SL:TYPE_RELATION Familie SL:TYPE_RELATION] IN:GET_CONTACT] SL:RECIPIENT] IN:SEND_MESSAGE]
Bitte sende Adnan und Steve eine Nachricht	[IN:SEND_MESSAGE [SL:RECIPIENT Adnan SL:RECIPIENT] [SL:RECIPIENT Steve SL:RECIPIENT] IN:SEND_MESSAGE]
