llamar a Irene Powell	[IN:CREATE_CALL [SL:CONTACT Irene Powell SL:CONTACT] IN:CREATE_CALL]
llamar a Terry Murray	[IN:CREATE_CALL [SL:CONTACT Terry Murray SL:CONTACT] IN:CREATE_CALL]
llamar a Whitney Sutton	[IN:CREATE_CALL [SL:CONTACT Whitney Sutton SL:CONTACT] IN:CREATE_CALL]
llama a Maurice Chevalier	[IN:CREATE_CALL [SL:CONTACT Maurice Chevalier SL:CONTACT] IN:CREATE_CALL]
llamar a Regina George	[IN:CREATE_CALL [SL:CONTACT Regina George SL:CONTACT] IN:CREATE_CALL]
llamara a Aaron Carter	[IN:CREATE_CALL [SL:CONTACT Aaron Carter SL:CONTACT] IN:CREATE_CALL]
llamar a Marc Anthony	[IN:CREATE_CALL [SL:CONTACT Marc Anthony SL:CONTACT] IN:CREATE_CALL]
llamar a Judy Collins	[IN:CREATE_CALL [SL:CONTACT Judy Collins SL:CONTACT] IN:CREATE_CALL]
Llama a Billie	[IN:CREATE_CALL [SL:CONTACT Billie SL:CONTACT] IN:CREATE_CALL]
llama a Randy	[IN:CREATE_CALL [SL:CONTACT Randy SL:CONTACT] IN:CREATE_CALL]
Quiero llamar al número 4085556205 en Skype	[IN:CREATE_CALL [SL:PHONE_NUMBER 4085556205 SL:PHONE_NUMBER] [SL:NAME_APP Skype SL:NAME_APP] IN:CREATE_CALL]
Puedes llamar al 555 - 5248	[IN:CREATE_CALL [SL:PHONE_NUMBER 555 - 5248 SL:PHONE_NUMBER] IN:CREATE_CALL]
llama al 555 - 7775 con WhatsApp	[IN:CREATE_CALL [SL:PHONE_NUMBER 555 - 7775 SL:PHONE_NUMBER] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:CREATE_CALL]
puedes tomar esta llamada por mí	[IN:ANSWER_CALL  IN:ANSWER_CALL]
Llamar a Paul Wood	[IN:CREATE_CALL [SL:CONTACT Paul Wood SL:CONTACT] IN:CREATE_CALL]
¿ Está conectado Osvaldo ?	[IN:GET_AVAILABILITY [SL:CONTACT Osvaldo SL:CONTACT] IN:GET_AVAILABILITY]
Agregar a Sarah a esta llamada también	[IN:UPDATE_CALL [SL:CONTACT_ADDED Sarah SL:CONTACT_ADDED] IN:UPDATE_CALL]
saca a mi hermano de esta llamada	[IN:UPDATE_CALL [SL:CONTACT_REMOVED   [IN:GET_CONTACT     [SL:CONTACT_RELATED mi SL:CONTACT_RELATED]     [SL:TYPE_RELATION hermano SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT_REMOVED] IN:UPDATE_CALL]
Llama a mi tía	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT [SL:CONTACT_RELATED mi SL:CONTACT_RELATED] [SL:TYPE_RELATION tía SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
contactar a Clara Lambert	[IN:CREATE_CALL [SL:CONTACT Clara Lambert SL:CONTACT] IN:CREATE_CALL]
Llama a Malcolm Robertson	[IN:CREATE_CALL [SL:CONTACT Malcolm Robertson SL:CONTACT] IN:CREATE_CALL]
me gustaría ponerme en contacto con Collin Randolph	[IN:CREATE_CALL [SL:CONTACT Collin Randolph SL:CONTACT] IN:CREATE_CALL]
contactar a Isaiah	[IN:CREATE_CALL [SL:CONTACT Isaiah SL:CONTACT] IN:CREATE_CALL]
quiero darle un toque a Timothy	[IN:CREATE_CALL [SL:CONTACT Timothy SL:CONTACT] IN:CREATE_CALL]
Quisiera llamar a mis primos Hailey , Gerald , Maximilian y Kristina por Wechat	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED mis SL:CONTACT_RELATED]     [SL:TYPE_RELATION primos SL:TYPE_RELATION]     [SL:CONTACT Hailey SL:CONTACT]     [SL:CONTACT Gerald SL:CONTACT]     [SL:CONTACT Maximilian SL:CONTACT]     [SL:CONTACT Kristina SL:CONTACT] IN:GET_CONTACT] SL:CONTACT] [SL:NAME_APP Wechat SL:NAME_APP] IN:CREATE_CALL]
Me gustaría llamar a mis primos Javon , Sandra , Marshall y Jace con Discord	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED mis SL:CONTACT_RELATED]     [SL:TYPE_RELATION primos SL:TYPE_RELATION]     [SL:CONTACT Javon SL:CONTACT]     [SL:CONTACT Sandra SL:CONTACT]     [SL:CONTACT Marshall SL:CONTACT]     [SL:CONTACT Jace SL:CONTACT] IN:GET_CONTACT] SL:CONTACT] [SL:NAME_APP Discord SL:NAME_APP] IN:CREATE_CALL]
Iniciar llamada con mis amigos Tyrese , Richard , Nikolas y Chloe en Skype	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED mis SL:CONTACT_RELATED]     [SL:TYPE_RELATION amigos SL:TYPE_RELATION]     [SL:CONTACT Tyrese SL:CONTACT]     [SL:CONTACT Richard SL:CONTACT]     [SL:CONTACT Nikolas SL:CONTACT]     [SL:CONTACT Chloe SL:CONTACT] IN:GET_CONTACT] SL:CONTACT] [SL:NAME_APP Skype SL:NAME_APP] IN:CREATE_CALL]
llamar a Adrian y Jayla Clarke	[IN:CREATE_CALL [SL:CONTACT Adrian SL:CONTACT] [SL:CONTACT Jayla Clarke SL:CONTACT] IN:CREATE_CALL]
